文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開平05-230324,            特願平04-036041,1992/02/24,1993/09/07,ポリオキシメチレン樹脂組成物,東レ株式会社,",C08K3/22,C08K5/13,C08K5/18,他,"
特開平05-220254,            特願平04-203720,1992/07/30,1993/08/31,スケ－トおよび着脱可能な靴の組み合せ,ローラーブレイド，インコーポレイテッド,",A43B5/16,A63C17/00,"
特開平05-220246,            特願平04-223688,1992/08/24,1993/08/31,スキ－板の滑り面に対する圧力の配分を変えるための装置,サロモン　エス．エー．エス．,",A63C5/06@A,A63C9/08@A,"
特開平05-220245,            特願平04-223535,1992/07/31,1993/08/31,スノーボードへのスキー靴のビンデイング装置,ガストン・ハルデマン,",A63C5/00@C,A63C5/00@Z,A63C9/00@C,他,"
実開平05-063579,            実願平04-010958,1992/02/05,1993/08/24,スキ－ストラツプ,株式会社ユメディア,",A63C11/02@A,"
特開平05-212144,            特願平03-361532,1991/12/27,1993/08/24,スキ－の剛性を変化させる装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/06@A,A63C5/07,"
特開平05-200139,            特願平03-073102,1991/04/05,1993/08/10,スキ－,ヘッド　スポルト　アクチェンゲゼルシャフト,",A63C5/075,A63C5/14@C,"
特表平07-503389,            特願平05-513534,1993/01/27,1993/08/05,スノーボード用ブーツ・ビンディング装置,ザ　バートン　コーポレイション,",A63C5/00@B,A63C5/00@C,A63C9/00,101@A,他,"
特表平07-509380,            特願平05-512819,1993/02/03,1993/08/05,スポーツ靴および支持システム,マックポッド　エンタープライゼズ　リミティッド,",A43B5/00,A43B5/04@F,A43B5/14,他,"
実開平05-058177,            実願平04-080851,1992/11/24,1993/08/03,非矩形断面形状を有するスキ－板,スキー・ロシニョール・ソシエテ・アノニム,",A63C5/00@A,A63C5/12@E,A63C5/12@M,"
実開平05-058176,            実願平04-080034,1992/11/19,1993/08/03,非矩形断面形状を有するスキ－板,スキー・ロシニョール・ソシエテ・アノニム,",A63C5/00@A,A63C5/12@E,A63C5/12@M,"
実開平05-058175,            実願平04-080035,1992/11/19,1993/08/03,非矩形断面形状を有するスキー板,スキー・ロシニョール・ソシエテ・アノニム,",A63C5/00@A,A63C5/12@E,A63C5/12@M,"
特開平05-184704,            特願平03-361533,1991/12/27,1993/07/27,スキーの剛性を変化させる装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング              他,",A63C5/06@A,A63C5/07,"
特表平06-506432,            特願平05-512353,1993/01/15,1993/07/22,屠殺した動物、特に鳥を運搬するための装置及びプラント,ストルク・ペー・エム・テー・ベー・ヴエー,",A22C21/00@Z,A22C21/00,B65G17/20@C,他,"
特開平05-168738,            特願平04-048116,1992/01/22,1993/07/02,モノスキ－,ケント　ハンター,",A63C5/03,"
実開平05-049508,            実願平03-108910,1991/12/09,1993/06/29,自動車用ル－フキヤリア,株式会社ナポレックス,",B60R9/12,"
実開平05-049507,            実願平03-108909,1991/12/09,1993/06/29,スキ－キヤリア,株式会社ナポレックス,",B60R9/12,"
実開平05-048975,            実願平03-113900,1991/12/06,1993/06/29,スキ－用姿勢安定具,片山　明男,",A63B69/18@Z,"
特開平05-131043,            特願平04-118136,1992/04/10,1993/05/28,トウユニツト安全解放用補正荷重の補償装置付スキ－ビンデイング,ノルディカ　エスピ－エ－,",A63C9/084,A63C9/085,"
特開平05-130904,            特願平03-325188,1991/11/13,1993/05/28,スキ－ブ－ツの足合せ装置,上野　豊,",A43B5/04@Z,A43D1/00,"
特表平07-504823,            特願平05-508607,1992/10/30,1993/05/13,スキーにおけるたわみおよび振動を減衰するための方法および装置,ティンクラー，マイケル・アール,",A63C5/00@C,A63C5/075,"
特表平07-500863,            特願平05-508670,1992/11/03,1993/05/13,微細多孔性感圧粘着剤被覆シート,ミネソタ・マイニング・アンド・マニュファクチュアリング・カンパニー,",C09J7/02@Z,C09J7/02,C09J133/06,他,"
特表平07-504083,            特願平05-507897,1992/10/23,1993/04/29,新規なサイトカイン,イミュネックス・コーポレーション,",A61K37/02,A61K39/395@D,A61P29/00,他,"
特開平05-095803,            特願平03-264646,1991/10/14,1993/04/20,スキ－靴,三和レジン工業株式会社,",A43B5/04@B,A43B5/04@P,"
特開平05-095802,            特願平04-076045,1992/02/27,1993/04/20,特にスキ－靴用の足固定装置,ノルディカ　エスピ－エ－,",A43B5/04@N,"
特開平05-068602,            特願平03-231386,1991/09/11,1993/03/23,スキ－靴,三和レジン工業株式会社,",A43B5/04@E,"
特表平05-506394,            特願平05-504126,1992/08/21,1993/03/04,セーフティースキービンディング,ハーテーエム　シュポルト－　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/085,A63C9/088,"
特表平05-506393,            特願平05-504125,1992/08/21,1993/03/04,セーフティースキービンディング,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/084,A63C9/088,"
実開平05-015982,            実願平03-072421,1991/08/15,1993/03/02,スキ－用プレ－ト板,株式会社西沢,",A63C5/00@A,A63C5/06@B,A63C5/075,他,"
実開平05-015426,            実願平03-060551,1991/07/31,1993/02/26,ワイヤボンダ,ルネサス関西セミコンダクタ株式会社,",H01L21/60,301@K,"
実開平05-009578,            実願平03-063839,1991/07/16,1993/02/09,ストツク収納部付きスキ－ケ－ス,白川　昭夫,",A63C11/02@E,"
特開平04-371178,            特願平03-174633,1991/06/18,1992/12/24,２人乗りスキー具,鹿島建設株式会社,",A63C5/00@Z,A63C9/00@C,"
特表平06-500490,            特願平04-510747,1992/06/17,1992/12/23,安全スキービンディングのヒール装置,ルック　エス　エイ,",A63C9/082,"
実全平04-131278,            実願平03-045987,1991/05/21,1992/12/02,スキー靴等の懸吊具,坂口　浩一,",A63C11/02@A,A63C11/08,A63C11/18,他,"
特開平04-322673,            特願平03-290904,1991/10/09,1992/11/12,スキービンディング,ノルディカ　エスピ－エ－,",A63C9/08@A,A63C9/084,A63C9/085,"
特開平04-311752,            特願平03-076008,1991/04/09,1992/11/04,熱可塑性樹脂組成物,出光興産株式会社,",C08F12/00,C08F12/08,C08K3/00,他,"
特開平04-303481,            特願平03-338773,1991/12/20,1992/10/27,スキー靴とスキー板との締結装置,ファルパト　パテントフェルベルツングス　アクチェンゲゼルシャフト,",A63C9/081,"
実全平04-117678,            実願平03-021159,1991/04/03,1992/10/21,一組のスキー板を収容できる多目的ケース,岸　信之,",A63C11/02@E,B60R9/12,"
特開平04-295380,            特願平03-337453,1991/12/20,1992/10/20,長さ調節装置を有するスキーとスキー靴の結合装置,ファルパト　パテントフェルベルツングス　アクチェンゲゼルシャフト,",A63C9/00@C,A63C9/08@A,A63C9/085,"
特開平04-276276,            特願平03-316534,1991/11/29,1992/10/01,スキービンディング,ブーク、ウェルケ、ゲゼルシャフト、ミット、ベシュレンクテル、ハフツング、ウント、カンパニー,",A63C9/088,"
特開平04-272777,            特願平03-322051,1991/12/05,1992/09/29,スキー用ビンディングの取り付け方法および装置,ルック　サイクル　ソシエテ　アノニム,",A63C9/00@C,A63C9/08@A,A63C11/26,"
実全平04-111379,            実願平02-044993,1990/04/26,1992/09/28,スキー板立てかけ補助器具,安本　求,",A63C11/02@Z,"
実全平04-108580,            実願平03-009854,1991/02/28,1992/09/18,スキー用品の多目的ケース,岸　信之,",A63C11/02@E,A63C11/22@A,B65D25/10,他,"
特開平04-263880,            特願平03-281357,1991/10/28,1992/09/18,陳列されるスキービンディングの支持装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/00@C,A63C9/00@Z,"
実全平04-103184,            実願平03-025957,1991/01/23,1992/09/04,スキー道具を運ぶスノーボート,岡部　吉明,",A63C5/00@Z,A63C11/02@A,"
特開平04-246385,            特願平03-257139,1991/09/10,1992/09/02,スキー・ビンディング専用減摩装置,ノルディカ　エスピ－エ－,",A63C9/08@C,A63C9/084,"
特開平04-246384,            特願平03-242938,1991/09/24,1992/09/02,３次元的に成形された上側を備えたスキー,アトミツク・フオー・スポート・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフツング,",A63C5/00@A,A63C5/12@G,A63C5/14@A,他,"
特開平04-236904,            特願平03-187334,1991/07/26,1992/08/25,靴の舌革,ウィルソン・スポーティング・グッズ・カンパニー,",A43B23/26,"
特開平04-231085,            特願平03-141409,1991/05/17,1992/08/19,セーフティビンディング,ノルディカ　エスピ－エ－,",A63C9/084,"
特開平04-228649,            特願平03-160947,1991/06/05,1992/08/18,フェース・ツー・フェース・パイル織物の製織方法及びこの方法によって作られる織物,エヌ・ブイ・ミシェル・バン・デ・ウィーレ,",D03D23/00,D03D27/00@E,D03D27/10,他,"
特開平04-228022,            特願平03-127847,1991/05/30,1992/08/18,屠殺家禽の脚部を胴部から分離する方法及び装置,ストルク・ぺー・エム・テー・べー・ヴエー,",A22C21/00@Z,"
実全平04-088979,            実願平03-065251,1991/08/19,1992/08/03,スキー用のヒールピース,ハーテーエム　シュポルト－　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/00@C,A63C9/084,"
特開平04-199673,            特願平02-325808,1990/11/29,1992/07/20,半導体装置,沖電気工業株式会社,",G11C11/34,371@K,H01L21/88@T,H01L27/04@D,他,"
特開平04-191516,            特願平02-318755,1990/11/22,1992/07/09,繊維ロールの製作方法,株式会社増田製作所,",D06B23/02,F16C13/00@A,F16C13/00@B,"
特開平04-174686,            特願平02-322244,1990/11/26,1992/06/22,振動制動装置を備えたスキー,トゥア・スキー・ソチエタ・ア・レスポンサビリタ・リミタータ,",A63C5/075,"
特開平04-174685,            特願平02-182526,1990/07/10,1992/06/22,スノーボードのリリース・ビンディング,アール・エイ・ミラー,",A63B69/00,512,A63C5/00@C,A63C5/00@Z,他,"
特開平04-169253,            特願平02-295358,1990/11/02,1992/06/17,発光素子を用いたヘッド,沖電気工業株式会社,",B41J3/21@L,H01L33/00@N,H01L33/00,120,他,"
実全平04-061586,            実願平02-104410,1990/10/03,1992/05/27,ビンデイングケ－ス,加藤　哲志郎,",A63C11/02@E,"
実全平04-035477,            実願平02-075734,1990/07/17,1992/03/25,ロ－ラ－スキ－,大窪　良久,",A63C17/06,"
実全平04-035476,            実願平02-076430,1990/07/18,1992/03/25,スノーボード用簡易ビンディング,久保田　智,",A63B69/00,512,A63C5/00@C,A63C5/00@Z,他,"
実全平04-032775,            実願平02-074719,1990/07/15,1992/03/17,人工芝用ロ－ラ－スキ－,大窪　宏昌,",A63C5/035,"
実全平04-030575,            実願平02-070584,1990/07/02,1992/03/11,スキ－バツク,株式会社バンダイ,",A63C11/02@A,"
実全平04-020851,            実願平02-063145,1990/06/13,1992/02/21,自動車用スキ－キヤリア,株式会社コムテック              他,",B60R9/12,"
実全平04-011065,            実願平02-051159,1990/05/16,1992/01/29,スキ－のビンデイングカバ－,小林　地恵子,",A63C9/00@Z,A63C11/02@E,"
特開平04-026426,            特願平02-132228,1990/05/22,1992/01/29,携帯用スキー板,有限会社ティアイエンジニアリング,",A63C5/02@B,"
実全平04-005878,            実願平02-046069,1990/04/27,1992/01/20,スキー締め具ヒールピースの位置固定装置,株式会社日乃出工業,",A63C9/00@C,A63C9/084,"
特開平03-277387,            特願平02-100138,1990/04/16,1991/12/09,二重滑り板スキー,エッセ・ビ・ピ・エッセ・エール・エル,",A63C5/00@A,A63C5/02@B,"
特開平03-265696,            特願平02-065726,1990/03/16,1991/11/26,石鹸の製造方法及びその装置,花王株式会社,",C11D13/04,"
特開平03-257403,            特願平02-055150,1990/03/08,1991/11/15,ダイクロイックミラー,岩崎電気株式会社              他,",F21V7/22@E,F21V7/22,240,G02B5/28,他,"
特表平04-506620,            特願平03-506289,1991/03/16,1991/10/31,スキーのビンディング取付け用緩衝具,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/12@E,A63C9/00@C,"
特開平03-234272,            特願平02-264904,1990/10/02,1991/10/18,電子回路組込み式セーフティスキービンディング,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/088,"
特表平05-506051,            特願平03-507757,1991/04/03,1991/10/17,改良された引張り性をもつ高耐熱性スチレン系コポリマーブレンド,ザ　ダウ　ケミカル　カンパニー,",C08L25/08,C08L33/18,C08L33/20,他,"
特表平04-505724,            特願平03-505161,1991/03/12,1991/10/17,旋回可能なソールプレートを有する安全スキービンディング,ユンクキント，ローラント,",A63C9/081,A63C9/082,A63C9/084,"
特開平03-229440,            特願平02-024400,1990/02/05,1991/10/11,ワイヤリング検査可能なワイヤボンディング装置,株式会社カイジョー,",G01B11/24@Z,H01L21/60,301@A,H01L21/60,321@Y,他,"
特表平04-506170,            特願平03-505633,1991/03/19,1991/10/03,スキーケース及びそのホルダ,エディー　インダストリーズ　リミテッド,",A63C11/02@A,"
特表平04-505723,            特願平03-504956,1991/03/12,1991/10/03,旋回可能なソールプレートを有する安全スキー・ビンディング,ユンクキント，ローラント,",A63C9/081,A63C9/085,"
特開平03-207383,            特願平02-003770,1990/01/10,1991/09/10,スキー用荷重検出警報装置,柳沢　豊太,",A63C5/06@Z,G01G19/44@A,"
特表平04-503624,            特願平03-503720,1991/02/08,1991/08/22,スキービンディング,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　アクチェン　ゲゼルシャフト,",A63C9/00@C,A63C9/08,A63C9/084,他,"
特表平04-505876,            特願平03-503061,1991/01/17,1991/08/22,スキー板,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/06@B,A63C5/075,A63C5/12@E,他,"
特開平03-188881,            特願平02-312986,1990/11/20,1991/08/16,セイフティースキービンディング,ルク・ソシエテ・アノニム,",A63C9/00@C,A63C9/08@B,A63C9/085,"
特表平05-503673,            特願平03-503852,1991/01/25,1991/08/08,長尺状物体の輸送のための装置,インダストリ　アーベー　スーリー,",B60R9/04,"
特開平03-176090,            特願平02-309005,1990/11/16,1991/07/31,スキー用の形状付与層を有するサンドイッチ構造,アトミツク・フオー・スポート・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフツング,",A63C5/00@A,A63C5/12@E,A63C5/12@K,他,"
特表平04-504221,            特願平03-500917,1990/12/27,1991/07/25,スキービンディング支持体,ビグラー　ハンス―ペーター              他,",A63C5/075,A63C9/00@C,"
特開平03-167240,            特願平01-306736,1989/11/28,1991/07/19,スタンパブルシート,出光興産株式会社,",B32B27/12,C08J5/04,C08K7/00,他,"
特開平03-162878,            特願平02-208312,1990/08/08,1991/07/12,スキーキャリア,ジョン　ジー．ワース,",A63C11/02@A,"
特開平03-162877,            特願平02-205936,1990/08/01,1991/07/12,ビンディング保持用の保持プレートが配置されたスキー,フランツ　フェールクル　ゲゼルシャフト　ミット　ベシュレンクテル　ハフトゥング　ウント　コンパニー　スキー　ウント　テニス　スポルタルティケルファブリック　コマンデット　ゲゼルシャフト,",A63C9/00@C,"
特開平03-162876,            特願平02-165843,1990/06/26,1991/07/12,スキー,アトミツク・フオー・スポート・ゲゼルシヤフト・ミツト・ベシユレンクテル・ハフツング,",A63C5/12@E,A63C5/12@K,A63C5/14@C,"
特開平03-158101,            特願平02-288272,1990/10/25,1991/07/08,スキー靴及びスキー・ビンディングの要素操作装置,ディナフィット　スキーシュー　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A43B5/04@K,A43B5/04@Z,"
特表平05-504493,            特願平03-501137,1990/12/07,1991/06/27,ホッケースティック,モトリー　マニュファクチュアリング　エイジェンシーズ　プロプライエタリー　リミテッド,",A63B59/12,A63B59/70,A63B102:22,"
特開平03-136602,            特願平01-273572,1989/10/20,1991/06/11,スキーブーツの底部にかかる圧力測定装置,株式会社ダブリュー・エス・ピー,",A43D1/00,A63C9/088,A63C11/00,他,"
特開平03-133472,            特願平02-258760,1990/09/27,1991/06/06,スキー,ブリザード　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/075,A63C5/12@D,"
特開平03-114901,            特願平02-145529,1990/06/05,1991/05/16,タイヤ付き車両における車輪用安全装置,ピエトロ・プレヴイテイ              他,",B60B3/08@A,B60B7/00@Z,B60B15/26@Z,"
特表平05-504800,            特願平03-500424,1990/10/22,1991/05/02,ユニバーサルパーソナルプロパティロッキング装置,ランドーネ，チャールズ，ジェイ．,",E05B73/00@Z,"
特開平03-099682,            特願平02-232259,1990/08/31,1991/04/24,スキーストツパ,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C7/10@B,"
特開平03-092185,            特願平02-211731,1990/08/13,1991/04/17,分離した要素を有する取り付けサポート付きスキー用セントラルビンディング,ガルデ・アクチエンゲゼルシャフト,",A63C9/00@C,A63C9/08@A,"
特開平03-079055,            特願平01-214980,1989/08/23,1991/04/04,半導体素子,新日本無線株式会社,",H01L21/66@E,"
特開平03-068380,            特願平02-103225,1990/04/20,1991/03/25,スキービンデイングのための靴底支持装置,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/081,"
特表平03-504683,            特願平02-510416,1990/07/20,1991/03/07,複数層よりなるスキーまたはスノーボード,エアバッハー　スキー　ウント　テニス　アー．ゲー．,",A63C5/12@K,A63C5/14@C,"
特開平03-045488,            特願平02-182543,1990/07/10,1991/02/27,自転車ペダル装置,リチャード・エム・ブライン,",B62M3/08@B,"
実全平03-016977,            実願平01-076246,1989/06/30,1991/02/20,スキ－板,池田物産株式会社,",A63C5/06@A,"
特開平03-039179,            特願平02-176499,1990/07/05,1991/02/20,スキービンデイング用の靴底支持装置,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/00@C,A63C9/08@C,A63C9/081,"
特開平03-000083,            特願平02-042300,1990/02/22,1991/01/07,前部及び／又は後部締め具の鎖錠装置を具備するスキー締め具,ファルパト　パテントフェルベルトゥングス　アクチェンゲゼルシャフト,",A63C9/00@A,A63C9/00@C,A63C9/085,"
特開平02-309983,            特願平01-120633,1989/05/16,1990/12/25,警報ユニット,スキー・リカバリー・システムズ・リミテッド,",A63B69/18,A63C11/00,G08B3/10,他,"
実全平02-149275,            実願平01-056986,1989/05/19,1990/12/19,スキ－のビンデイング保護ケ－ス,多川　育子,",A63C9/00@A,A63C11/02@A,"
特表平04-506704,            特願平02-508507,1990/05/16,1990/12/13,方向性ショック検出器,ディテクターズ　インコーポレイテッド,",G01L1/00@F,G01L5/00@F,G01P15/00@C,他,"
実全平02-143979,            実願平01-053611,1989/05/10,1990/12/06,スキ－用ストツパ－,セイコーエプソン株式会社,",A63C7/08,"
実全平02-143978,            実願平01-053613,1989/05/10,1990/12/06,スキ－滑走板紛失防止装置,セイコーエプソン株式会社,",A63C5/00@A,"
特開平02-280782,            特願平02-077157,1990/03/28,1990/11/16,スキービンデイングのトーピース,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/00@C,A63C9/08@Z,A63C9/085,"
実全平02-136678,            実願平01-045386,1989/04/17,1990/11/14,スキー板用穿孔・螺着装置,株式会社磯村製作所,",A63C11/26,"
特開平02-271883,            特願平01-313111,1989/12/01,1990/11/06,防振要素付きスキー,ブリザード　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C5/075,"
特開平02-261480,            特願平01-081627,1989/04/03,1990/10/24,スキーケース,福田　徹,",A63C11/02@E,"
特表平04-506613,            特願平02-505503,1990/03/16,1990/10/04,スノーボード　ビンディング,レインズ、マーク　エイ．              他,",A63C5/00@C,A63C5/00@Z,A63C9/00,101@E,他,"
特開平02-241472,            特願平01-062917,1989/03/15,1990/09/26,スキーの板とビンディングの間に取り付ける板,真瀬　知明,",A63C9/00@C,"
実全平02-118588,            実願平01-026755,1989/03/09,1990/09/25,スキー板,同和鉱業株式会社,",A63C5/00@A,"
特表平04-503779,            特願平02-505236,1990/03/08,1990/09/20,ハイパーテキスト・ブック・アタッチメント,プロダクティブ　エンバイロンメンツ　インコーポレイテッド,",B42D1/00@A,B42D3/04@A,"
特開平02-231094,            特願平01-329431,1989/12/19,1990/09/13,昆虫選択的毒素、その毒素をコードする遺伝子、その毒素に結合する抗体およびその毒素を発現するトランスジェニック植物細胞および植物,アメリカン　シアナミド　カンパニー,",A01H1/00@A,A01H5/00@A,A01N47/44,他,"
実全平02-114083,            実願平01-021519,1989/02/28,1990/09/12,スノ－ボ－ドにおける制動装置,片桐　映光,",A63C5/00@C,A63C7/08,"
特開平02-228988,            特願平02-009474,1990/01/18,1990/09/11,折りたたみ式スキー,エッセ・ビ・ピ・エッセ・エール・エル,",A63C5/02@A,"
特表平03-504094,            特願平02-503329,1990/02/21,1990/09/07,安全スキービンディング用前金具,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/085,"
特表平03-504087,            特願平01-504025,1989/04/18,1990/09/07,安全スキービンディング,ファルパト　パテントフェルベルツングス　アクチェンゲゼルシャフト,",A63C9/08@B,A63C9/084,A63C9/085,"
実全平02-111480,            実願平01-020494,1989/02/23,1990/09/06,スキ－用ビンデイングのヒ－ルピ－ス,株式会社ジャパーナ,",A63C9/082,A63C9/084,"
実全平02-111479,            実願平01-020493,1989/02/23,1990/09/06,スキ－用ビンデイングのトウピ－ス,株式会社ジャパーナ,",A63C9/08@A,A63C9/085,"
特開平02-203612,            特願平01-022616,1989/02/02,1990/08/13,弾性表面波素子の製造法,キヤノン株式会社,",H03H3/08,"
特表平03-503564,            特願平02-503172,1990/01/23,1990/08/09,ねじ拘束装置,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/00,F16B41/00@J,"
特開平02-200281,            特願平01-314137,1989/12/01,1990/08/08,モノスキー,ケント　ハンター,",A63C5/03,"
特開平02-198569,            特願平01-252534,1989/09/29,1990/08/07,スキー靴をスキーに固定するビンディング,ファルパト　パテントフェルベルトゥングス　アクチェンゲゼルシャフト,",A63C5/075,A63C9/00@C,A63C9/08@A,"
特開平02-198567,            特願平01-282079,1989/10/31,1990/08/07,スキー板と靴の締め具間の衝撃ならびに振動を緩和する装置,サロモン　エス．エー．,",A63C5/075,"
特表平04-502780,            特願平02-503512,1990/01/17,1990/07/26,熱可塑性ポリウレタン,ザ　ダウ　ケミカル　カンパニー,",A43B5/04@A,A63C5/12@C,C08G18/42@Z,他,"
特開平02-177980,            特願平01-288074,1989/11/07,1990/07/11,側方慣性質量体を備えたスキー板,サロモン　エス．エー．,",A63C5/06@A,A63C5/075,"
特開平02-177979,            特願平01-283156,1989/11/01,1990/07/11,前方慣性質量体を備えたスキー板,サロモン　エス．エー．,",A63C5/06@A,"
実全平02-086581,            実願平01-143178,1989/12/13,1990/07/09,セ－フテイスキ－ビンデイングのト－ピ－ス,ハーテーエム　シュポルト―ウント　フライツァイトゲレーテ　アクチェンゲゼルシャフト,",A63C9/084,A63C9/085,"
特開平02-174873,            特願平01-202282,1989/08/03,1990/07/06,スキーに固定されるようになったベースプレートを有するスキービンディング部品,マーカー　ドイッチェランド　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/00@A,"
特開平02-167101,            特願平01-195373,1989/07/27,1990/06/27,スキー靴及びビンディングの結合体,エルマー・ビー・ウルフ              他,",A43B5/04@S,"
特開平02-164382,            特願平01-275123,1989/10/24,1990/06/25,スキー板と靴の締め具間の衝撃ならびに振動を緩和する装置,サロモン　エス．エー．,",A63C5/06@B,A63C5/075,A63C9/00@C,"
特開平02-144003,            特願平01-256936,1989/09/29,1990/06/01,スキー底面をオーバーモールドする方法および装置,スキッド　ソシエテ　アノニム,",A43B5/04@Z,A43B10/00,101@C,A43D95/00,他,"
特開平02-136150,            特願昭63-291546,1988/11/18,1990/05/24,スキー板,株式会社カザマスキー              他,",A63C5/12@C,A63C5/12@K,A63C5/14@A,他,"
特開平02-124989,            特願昭63-264249,1988/10/21,1990/05/14,積層スキー、その製造方法，及びスキー用靴パッド,ノートン　カンパニー,",C09J201/00@A,C09J201/00,"
実全平02-061903,            実願昭63-112030,1988/08/25,1990/05/09,防寒着兼用スキ－板利用のハンモツク椅子,大雄観光開発株式会社,",A41D1/00@A,A41D13/00@H,A41D13/002,"
特開平02-116301,            特願昭63-271840,1988/10/27,1990/05/01,スキー靴用底部材,有限会社マコエンタープライズ,",A43B5/04@S,"
特開平02-109583,            特願昭63-264704,1988/10/19,1990/04/23,スキー持ち運び用空気密封袋付補助具,小山　明男,",A63C11/02@A,"
特表平03-500140,            特願平01-510206,1989/09/27,1990/04/19,トーピース,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/085,"
特開平02-107279,            特願平01-224754,1989/09/01,1990/04/19,スキーのビンデイング,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチエンゲゼルシャフト,",A63C9/00@D,"
特開平02-105559,            特願昭63-258910,1988/10/14,1990/04/18,リードフレームおよびその製造方法,凸版印刷株式会社,",H01L23/50@A,H01L23/50@J,"
特表平02-503643,            特願平01-508958,1989/08/19,1990/03/22,スキーブレーキ,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　アクチェン　ゲゼルシャフト,",A63C7/10@B,"
特開平02-080071,            特願平01-191236,1989/07/24,1990/03/20,スキーのビンディング装置,ゲーツェ　シュポルト　インテルナティオナル　ゲーエムベーハー,",A63C9/085,"
実全平02-039779,            実願昭63-118730,1988/09/09,1990/03/16,スキ－・ビンデイングの保護カバ－,柿崎　香,",A63C9/00@Z,A63C11/00,"
実全平02-037683,            実願昭63-117212,1988/09/06,1990/03/13,スキ－用ヤスリかけ台,樋口　庚平,",A63C11/04,A63C11/06,"
特開平02-071109,            特願昭63-222415,1988/09/07,1990/03/09,ボンディングワイヤー検査方法,株式会社東芝,",G01B11/24@A,G01B11/24@C,G01B11/24@K,他,"
特開平02-046875,            特願昭63-197754,1988/08/08,1990/02/16,スキー用姿勢認識装置,柳沢　豊太,",A43B5/04@P,A63C11/00,"
特表平02-502702,            特願平01-507743,1989/07/13,1990/02/08,距離スキー又はツアスキー用のスキービンデイング,ハーテーエム　シュポルト―　ウント　フライツァイトゲレーテ　アクチェンゲゼルシャフト,",A63C9/085,A63C9/20,"
特表平02-502701,            特願平01-507617,1989/07/10,1990/02/08,スキービンデイングを組付けるための装置,ハーテーエム　シュポルトー　ウント　フライツァイトゲレーテ　アクチェンゲゼルシャフト,",A63C9/00@C,"
実全平02-017167,            実願昭63-096793,1988/07/21,1990/02/05,スキ－用走行補助具,佐藤　哲也,",A63C7/08,"
特開平02-031773,            特願昭63-161133,1988/06/30,1990/02/01,スキー装置,バタイユ　インダストリー　エス．アー．,",A63C9/00@C,A63C9/084,A63C9/086,"
特開平02-023901,            特願昭63-174324,1988/07/13,1990/01/26,スキー靴,有限会社マコエンタープライズ,",A43B5/04@Q,A43B5/04@S,"
特開平02-019271,            特願昭63-166802,1988/07/06,1990/01/23,半導体装置用テーピング部品,株式会社東芝,",B65D73/02@M,B65D85/38@N,B65D85/90,300,"
特開平02-009156,            特願昭63-158171,1988/06/28,1990/01/12,半導体装置の製造方法,株式会社東芝,",H01L21/56@H,H01L23/50@J,"
特開平02-002305,            特願昭63-286605,1988/11/11,1990/01/08,花色が改変された植物およびその遺伝子操作による製造,マックス‐プランク‐ゲゼルシャフト・ツア・フェルデルング・デア・ヴィッセンシャフテン・エー・ファウ,",A01H1/00@A,A01H5/00@A,A01H6/46,他,"
