文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開2001-132148,            特願平11-312555,1999/11/02,2001/05/15,スラブ用埋込材,有限会社Ｏｍｎｉ　ｈｏｕｓｅ．ｅｔ,",E04B5/32@B,E04B5/43@A,"
特表2003-512907,            特願2001-534476,2000/10/30,2001/05/10,スノーボード付属品,エス・オー・ベー・イ・ウメオ・アクチボラゲット,",A63C5/00@C,A63C7/08,A63C7/10@A,"
特開2001-115592,            特願平11-296894,1999/10/19,2001/04/24,スラブ用埋込材の取付具,有限会社Ｏｍｎｉ　ｈｏｕｓｅ．ｅｔ,",E04B5/32@B,E04B5/43@A,"
特開2001-113830,            特願平11-296743,1999/10/19,2001/04/24,樹脂組成物への複数色レーザーマーキング法及びそれによって得られた成形品,旭化成ケミカルズ株式会社,",B41J2/00@Z,B41J3/00@Q,B41J3/00@Z,他,"
実登3087526,            実願2001-600024,2000/10/10,2001/04/19,滑走ボードのためのコア,ザ・バートン・コーポレイション,",A63C5/00@C,A63C5/12@J,"
特開2001-104535,            特願2000-207014,2000/07/07,2001/04/17,スキー板用プレート,イズミエンジニアリング有限会社,",A63C5/06@A,A63C9/00@Z,"
特表2003-510141,            特願2001-526256,2000/08/28,2001/04/05,一体型モジュール滑走ボード、例えばスキー,ケイ‐ツー、コーポレーション,",A63C5/04,A63C5/12@A,"
特開2001-087446,            特願平11-302874,1999/09/17,2001/04/03,タイヤスケート及び帆滑走用ハンドセイル,小林　正登,",A63C17/02,A63C17/14,"
特開2001-070496,            特願平11-287177,1999/09/01,2001/03/21,スキー用ビンディングプレート,米山　猛,",A63C9/00@C,"
特表2003-508224,            特願2001-522077,2000/09/01,2001/03/15,混合チャンバ,ジーイー・ヘルスケア・ユーケイ・リミテッド,",B01F3/12,B01F11/00@A,C12M1/00@Z,他,"
特表2003-506169,            特願2001-515028,2000/07/13,2001/02/15,スキーセーフティビンディングの長さ調整装置,マーカー　ドイチユラント　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,",A63C9/00@C,A63C9/02,"
特開2001-029532,            特願平11-207502,1999/07/22,2001/02/06,スノー等の板およびスノー等の板の表示具,須田　能充,",A63C5/00@C,A63C11/02@Z,"
特表2003-503897,            特願2001-506188,2000/06/21,2001/01/04,ブリッジングする多数のホームネットワークソフトウェアアーキテクチャ,コーニンクレッカ　フィリップス　エヌ　ヴェ,",G06F13/00,351@B,G06F13/00,358@A,G06F13/00,358@C,他,"
特開2000-355746,            特願2000-145460,2000/05/17,2000/12/26,黄銅の製造方法及び製造設備,ＴＯＴＯ株式会社,",B21C23/00@A,B21C23/00@Z,C22C9/04,他,"
特表2003-501555,            特願2001-501671,2000/05/16,2000/12/14,ドープダイヤモンド状カーボン皮膜,ナムローゼ・フェンノートシャップ・ベーカート・ソシエテ・アノニム,",C23C16/26,C23C26/00@C,C23C28/04,他,"
特表2003-500140,            特願2000-620833,2000/05/03,2000/12/07,スポーツシューズ及びスポーツシューズ内に取り付けるための構造インターフェースを製造する方法,ヴァンス，インク．,",A43B5/04@B,A43B5/04@S,A43B13/26@Z,他,"
特開2000-288151,            特願2000-058717,2000/03/03,2000/10/17,スノーボードブーツ用アクティブハイバックシステム及びスノーボードブーツ,株式会社シマノ,",A43B5/04@E,A43B5/04@R,A43B5/04@Z,他,"
特表2002-537959,            特願2000-603764,2000/02/28,2000/09/14,ローラースケート,ロッソ，ミケーレ,",A63C17/00,B62K17/00,"
特許3086451,            特願平11-118781,1999/04/26,2000/09/11,滑降・滑走スポーツ用ブーツ体,出雲産業株式会社              他,",A43B5/04@E,A43B23/02,104,"
特開2000-237370,            特願平11-040281,1999/02/18,2000/09/05,スノーボードビンディング,株式会社タケマエ,",A63C5/00@C,A63C9/00,101@M,A63C9/02,他,"
特開2000-237369,            特願平11-039379,1999/02/18,2000/09/05,スノーボードビンディング,株式会社タケマエ,",A63C5/00@C,A63C9/00,101@C,A63C9/02,他,"
